GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sprint3,edu.brown.cs.student.main.database,Database,19,41,3,3,8,12,6,3,3,3
sprint3,edu.brown.cs.student.main,Api,109,0,6,0,27,0,8,0,5,0
sprint3,edu.brown.cs.student.main,Main,20,0,0,0,7,0,3,0,3,0
sprint3,edu.brown.cs.student.main,Api.getUsersHandler,29,0,0,0,9,0,2,0,2,0
sprint3,edu.brown.cs.student.main,Api.getReviewsHandler,29,0,0,0,9,0,2,0,2,0
sprint3,edu.brown.cs.student.main,Api.insertUserHandler,36,0,0,0,10,0,2,0,2,0
sprint3,edu.brown.cs.student.main,Api.getBuildingsFountainHandler,29,0,0,0,9,0,2,0,2,0
sprint3,edu.brown.cs.student.main.userFunc,Event,4,18,0,0,2,7,1,2,1,2
sprint3,edu.brown.cs.student.main.userFunc,User,7,48,0,0,3,19,2,11,2,11
sprint3,edu.brown.cs.student.main.userFunc,userCommands,0,147,0,8,0,27,0,7,0,3
sprint3,edu.brown.cs.student.main.buildings,Review,9,20,0,0,3,9,3,4,3,4
sprint3,edu.brown.cs.student.main.buildings,NearestFountain,0,54,0,4,0,12,0,4,0,2
sprint3,edu.brown.cs.student.main.buildings,Building,0,44,0,0,0,17,0,10,0,10
sprint3,edu.brown.cs.student.main.buildings,BuildingCommands,3,133,0,6,2,37,0,8,0,5
sprint3,edu.brown.cs.student.main.buildings,Fountain,7,65,0,2,3,18,2,8,2,7
sprint3,edu.brown.cs.student.main.buildings,FountainComparator,16,116,8,16,3,25,8,10,0,6
sprint3,edu.brown.cs.student.main.buildings,BuildingComparator,37,0,0,0,7,0,3,0,3,0
